,Province/State,Country/Region,Lat,Long,date,confirmed_cases,deaths_cases,recovered_cases,Anual Average Temperature (C),Anual Average High Temperature (C),Anual Average Low Temperature (C),Month Average Temperature (C),Month Average High Temperature (C),Month Average Low Temperature (C)
66,Jiangxi,China,27.614,115.7221,1/22/20,2,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
67,Jilin,China,43.6661,126.1923,1/22/20,0,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
68,Liaoning,China,41.2956,122.6085,1/22/20,2,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
69,Macau,China,22.1667,113.55,1/22/20,1,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
70,Ningxia,China,37.2692,106.1655,1/22/20,1,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
71,Qinghai,China,35.7452,95.9956,1/22/20,0,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
72,Shaanxi,China,35.1917,108.8701,1/22/20,0,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
73,Shandong,China,36.3427,118.1498,1/22/20,2,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
74,Shanghai,China,31.202,121.4491,1/22/20,9,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
75,Shanxi,China,37.5777,112.2922,1/22/20,1,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
76,Sichuan,China,30.6171,102.7103,1/22/20,5,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
77,Tianjin,China,39.3054,117.323,1/22/20,4,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
78,Tibet,China,31.6927,88.0924,1/22/20,0,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
79,Xinjiang,China,41.1129,85.2401,1/22/20,0,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
80,Yunnan,China,24.974,101.487,1/22/20,1,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
81,Zhejiang,China,29.1832,120.0934,1/22/20,10,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
82,,Colombia,4.5709,-74.2973,1/22/20,0,0,0,23.11111111,27.16666667,20.11111111,23.61111111,28.27777778,20.38888889
83,,Congo (Kinshasa),-4.0383,21.7587,1/22/20,0,0,0,23.5,29.38888889,18.94444444,23.83333333,29.61111111,19.61111111
84,,Costa Rica,9.7489,-83.7534,1/22/20,0,0,0,24.72222222,29.38888889,20.22222222,24.11111111,28.94444444,19.27777778
85,,Cote d'Ivoire,7.54,-5.5471,1/22/20,0,0,0,26.22222222,30.44444444,21.66666667,26,31.72222222,19.83333333
86,,Croatia,45.1,15.2,1/22/20,0,0,0,12.83333333,16.83333333,8.888888889,3.888888889,6.777777778,0.833333333
87,,MS Zaandam,0,0,1/22/20,0,0,0,,,,,,
88,,Cuba,22,-80,1/22/20,0,0,0,25.27777778,29.16666667,21.77777778,22.61111111,26.66666667,19
89,,Cyprus,35.1264,33.4299,1/22/20,0,0,0,18.94444444,23.94444444,14.16666667,11.55555556,16,7.555555556
90,,Czechia,49.8175,15.473,1/22/20,0,0,0,6.944444444,10.77777778,2.944444444,-2.555555556,0.055555556,-5.277777778
91,Faroe Islands,Denmark,61.8926,-6.9118,1/22/20,0,0,0,7.777777778,10.77777778,5.333333333,0.611111111,2.555555556,-1.055555556
92,Greenland,Denmark,71.7069,-42.6043,1/22/20,0,0,0,7.777777778,10.77777778,5.333333333,0.611111111,2.555555556,-1.055555556
93,,Denmark,56.2639,9.5018,1/22/20,0,0,0,7.777777778,10.77777778,5.333333333,0.611111111,2.555555556,-1.055555556
94,,Djibouti,11.8251,42.5903,1/22/20,0,0,0,28.5,32.33333333,23.88888889,24.16666667,27.88888889,19.44444444
95,,Dominican Republic,18.7357,-70.1627,1/22/20,0,0,0,24.72222222,29.33333333,21.72222222,23.05555556,27.66666667,19.5
96,,Ecuador,-1.8312,-78.1834,1/22/20,0,0,0,19.44444444,26.61111111,19.61111111,20.33333333,27.33333333,20.33333333
97,,Egypt,26,30,1/22/20,0,0,0,21.77777778,28,16.27777778,13.61111111,19.5,8.611111111
98,,El Salvador,13.7942,-88.8965,1/22/20,0,0,0,23.16666667,29.94444444,20.27777778,22.5,30.16666667,18.61111111
99,,Equatorial Guinea,1.5,10,1/22/20,0,0,0,24.44444444,29.38888889,20.11111111,25,30.5,19.72222222
100,,Eritrea,15.1794,39.7823,1/22/20,0,0,0,23.38888889,31.27777778,21.55555556,20.16666667,27.94444444,17.94444444
101,,Estonia,58.5953,25.0136,1/22/20,0,0,0,5.5,9.111111111,2.166666667,-4.222222222,-1.611111111,-6.777777778
102,,Eswatini,-26.5225,31.4659,1/22/20,0,0,0,19.66666667,23.88888889,14.11111111,23.27777778,26.11111111,16.77777778
103,,Ethiopia,9.145,40.4897,1/22/20,0,0,0,19.33333333,26.05555556,14.11111111,18.44444444,26.16666667,12.55555556
104,,Fiji,-17.7134,178.065,1/22/20,0,0,0,24.94444444,28.77777778,22.27777778,26.38888889,30.22222222,23.77777778
105,,Finland,64,26,1/22/20,0,0,0,2.555555556,6.611111111,-0.388888889,-8.666666667,-5,-11.22222222
106,French Guiana,France,3.9339,-53.1258,1/22/20,0,0,0,11.27777778,15.83333333,7.555555556,4.111111111,7.5,1.333333333
107,French Polynesia,France,-17.6797,149.4068,1/22/20,0,0,0,11.27777778,15.83333333,7.555555556,4.111111111,7.5,1.333333333
108,Guadeloupe,France,16.25,-61.5833,1/22/20,0,0,0,11.27777778,15.83333333,7.555555556,4.111111111,7.5,1.333333333
109,Mayotte,France,-12.8275,45.1662,1/22/20,0,0,0,11.27777778,15.83333333,7.555555556,4.111111111,7.5,1.333333333
110,New Caledonia,France,-20.9043,165.618,1/22/20,0,0,0,11.27777778,15.83333333,7.555555556,4.111111111,7.5,1.333333333
111,Reunion,France,-21.1351,55.2471,1/22/20,0,0,0,11.27777778,15.83333333,7.555555556,4.111111111,7.5,1.333333333
112,Saint Barthelemy,France,17.9,-62.8333,1/22/20,0,0,0,11.27777778,15.83333333,7.555555556,4.111111111,7.5,1.333333333
113,St Martin,France,18.0708,-63.0501,1/22/20,0,0,0,11.27777778,15.83333333,7.555555556,4.111111111,7.5,1.333333333
114,Martinique,France,14.6415,-61.0242,1/22/20,0,0,0,11.27777778,15.83333333,7.555555556,4.111111111,7.5,1.333333333
115,,France,46.2276,2.2137,1/22/20,0,0,0,11.27777778,15.83333333,7.555555556,4.111111111,7.5,1.333333333
116,,Gabon,-0.8037,11.6094,1/22/20,0,0,0,24.77777778,28.88888889,21.72222222,25.61111111,29.55555556,22.5
117,,Gambia,13.4432,-15.3101,1/22/20,0,0,0,28,34,21.27777778,24.61111111,32.44444444,16.38888889
118,,Georgia,42.3154,43.3569,1/22/20,0,0,0,14,17.77777778,10.61111111,4.888888889,7.944444444,2.111111111
119,,Germany,51,9,1/22/20,0,0,0,8.111111111,12.22222222,4.722222222,-0.388888889,2,-2.555555556
120,,Ghana,7.9465,-1.0232,1/22/20,0,0,0,26.77777778,29.55555556,24.88888889,26.94444444,30.44444444,24.77777778
121,,Greece,39.0742,21.8243,1/22/20,0,0,0,16.94444444,21.16666667,12.16666667,8.833333333,12.44444444,5.333333333
122,,Guatemala,15.7835,-90.2308,1/22/20,0,0,0,20.72222222,28.5,21.11111111,18.94444444,27.5,19.33333333
